size,No Tail,With Tail
0,0,0
500,0,0
1000,1,0
1500,2,0
2000,4,0
2500,6,0
3000,9,0
3500,13,0
4000,17,0
4500,22,0
5000,27,0
5500,33,0
6000,39,0
6500,46,0
7000,54,0
7500,63,0
8000,72,0
8500,81,0
9000,93,0
9500,105,0
10000,116,0
10500,128,0
11000,142,0
11500,157,0
12000,171,0
12500,185,0
13000,201,0
13500,218,0
14000,233,0
14500,253,0
size,With Tail,
0,0,
500,0,
1000,0,
1500,0,
2000,0,
2500,0,
3000,0,
3500,0,
4000,0,
4500,0,
5000,0,
5500,0,
6000,0,
6500,0,
7000,0,
7500,0,
8000,0,
8500,0,
9000,0,
9500,0,
10000,0,
10500,0,
11000,0,
11500,0,
12000,0,
12500,0,
13000,0,
13500,0,
14000,0,
14500,0,
